,0,1
0,2314866.7627953505,1963466.6349424052
1,5058120.6092861025,6211647.579249592
2,1949905.1940492447,1792732.8287946014
3,2957885.884300547,3066213.5947271814
4,5109012.077090868,4996434.569630503
5,4303255.247220691,3724763.369908735
6,3824341.2493588077,3932775.389996371
7,2933336.432681655,2864650.0395033257
8,1947885.8908895974,1719345.2380078393
9,4957882.928758783,4346214.66817324
10,3571326.6705303793,3277427.6924371207
11,4290391.627411303,3094455.148750077
12,2518072.630938175,2016098.3934662677
13,6952328.141667328,6252428.197456939
14,6238355.031443666,7748343.421691011
15,5744073.002686163,6271689.067084216
16,29383887.14019359,26340149.51422967
17,3774941.24712631,3139279.4959937395
18,6940044.876261484,6581829.093404423
19,2556158.0276912125,2667159.611485827
20,1291762.2969515272,1024836.7284112554
21,3541009.2969769994,3120903.770088391
22,4443209.674409476,3800374.787513348
23,2763219.726373488,3410897.8097366607
24,6605370.90571728,4742910.949191843
25,2483110.616152401,2548299.7296986757
26,7223565.107183963,7068923.100494374
27,2748338.0299051525,3013698.4817015263
28,5467910.74039275,4631101.89372128
29,5982644.420829745,4860888.562695926
30,3391254.2329314887,2988922.1182964044
31,5757494.090053189,6341235.868420898
32,4412821.678912534,3503135.9094601125
33,7832467.910341797,8492063.389356231
34,3047913.861444129,2947189.2204276505
35,5954270.879269484,4884424.948102799
36,9276419.230684945,7545675.425375605
37,19839908.506437544,11936129.124593122
38,4258458.646354853,3161484.9959782786
39,9933647.560853707,9019381.300984774
40,6421422.800312211,6185783.186039701
41,1700190.948890514,1454624.8636930503
42,2082835.8949658347,2344756.009777307
43,9463404.997293547,8933520.837359192
44,6348689.071309461,5120623.866786777
45,3393069.0740506025,2697037.529872523
46,4235545.430829175,4705781.686903215
